Source ID,Map short label,Source/system name,Source class,Region,Candidate corridor(s),Evidence state,Current quantity status,Longitude,Latitude,Coordinate provenance,Coordinate status
GILGEL_GIBE_III_RES,GG-III,Gilgel Gibe III Reservoir,Reservoir fishery,Southwest,C_SOUTHWEST_MULTI,User-specified candidate source,Unknown/current,37.301,6.848,contextual reservoir coordinate,provisional
TURKANA_ETH_LAKE,L. Turkana,Lake Turkana (Ethiopian fishery),Transboundary lake fishery,Southwest,C_TURKANA_ADDIS,Existing source; candidate network expansion,Uncertain domestic/export split,36.1,4.65,local KML; Ethiopian fishery zone,existing
GAMBELLA_DIFFUSE,Gambella WC,Gambella wetland complex,Diffuse river-wetland source-system parent,Gambella,C_GAMBELLA_LOCAL; C_GAMBELLA_SURPLUS,USER-SPECIFIED COMPLEX SOURCE AND POTENTIAL CEILING,"Under-accounted production; combined-system potential ceiling up to 20,000 t/year; not observed catch",34.5,8.15,"Regional aggregate: Baro–Akobo, Gilo and Pibor tributaries with floodplains, oxbows and wetlands",aggregate
TATA_LENTIC,L. Tata,Lake Tata,Lentic/floodplain source,Gambella,C_GAMBELLA_LOCAL,USER-SPECIFIED IMPORTANT HOTSPOT; CHILD OF GAMBELLA SYSTEM,"Child production unquantified; included within parent potential ceiling, never additive",34.18333,7.65,GeoNames + user confirmation 2026-08-11; Lake Gesi retained as an alias,user-confirmed
ALWERO_RES,Alwero,Alwero Reservoir,Reservoir/wetland fishery,Gambella,C_GAMBELLA_LOCAL; C_GAMBELLA_SURPLUS,Existing important source; child of Gambella system,"Historical/scoped; included within parent potential ceiling, never additive",34.52823,7.85693,GeoNames; associated wetlands retained in source-system scope,existing
GOP_LENTIC_UNVERIFIED,Gop,Gop lentic/floodplain fishery,Lentic/floodplain source,Gambella,C_GAMBELLA_LOCAL,USER-SPECIFIED IMPORTANT HOTSPOT; CHILD OF GAMBELLA SYSTEM,"Child production unquantified; included within parent potential ceiling, never additive",34.358792,7.903258,User-supplied coordinate 2026-08-11,user-confirmed
AKOBO_PINYUDO_WETLANDS,A–P wetlands,Akobo–Pinyudo wetland complex,River-floodplain-wetland source,Gambella,C_GAMBELLA_LOCAL,USER-SPECIFIED IMPORTANT SOURCE; CHILD OF GAMBELLA SYSTEM,"Under-accounted child production; included within parent potential ceiling, never additive",33.04611,7.79492,GeoNames Akobo River (geonameid 379791); Pinyudo town is a separate market node,representative river anchor
PIBOR_FLOODPLAIN,Pibor FP,Pibor floodplain wetland complex,River-floodplain-wetland source,Gambella,C_GAMBELLA_LOCAL,USER-SPECIFIED IMPORTANT SOURCE; CHILD OF GAMBELLA SYSTEM,"Under-accounted child production; included within parent potential ceiling, never additive",33.21861,8.43504,GeoNames River Pibor (geonameid 368553),river anchor
GILO_FLOODPLAIN,Gilo FP,Gilo floodplain wetland complex,River-floodplain-wetland source,Gambella,C_GAMBELLA_LOCAL,USER-SPECIFIED IMPORTANT SOURCE; CHILD OF GAMBELLA SYSTEM,"Under-accounted child production; included within parent potential ceiling, never additive",33.19266,8.14065,GeoNames Gilo River (geonameid 336506),river anchor
MAJANG_ITANG_BARO_WETLANDS,MIB wetlands,Majang–Itang–Baro wetland complex,Diffuse river-wetland route source,Gambella,C_GAMBELLA_LOCAL,USER-SPECIFIED IMPORTANT SOURCE ROUTE; CHILD OF GAMBELLA SYSTEM,"Under-accounted child production; included within parent potential ceiling, never additive",35.12785,7.34579,GeoNames Majang Zone centroid (geonameid 11750819); route continues through Itang and Baro,regional aggregate anchor
GILGEL_GIBE_I_RES,GG-I,Gilgel Gibe I Reservoir,Reservoir fishery,Southwest,C_GIBE_I,Existing source; candidate network expansion,Historical/scoped,37.32167,7.83139,GeoNames/local KML,existing
FINCHA_RES,Fincha’a,Fincha’a Reservoir,Reservoir fishery,Western Oromia,C_FINCHA_WEST,Registered production source; candidate destination topology,Historical/scoped; current source-specific production uncertain,37.36,9.56,contextual reservoir coordinate,provisional
AMERTI_RES,Amerti,Amerti Reservoir,Reservoir fishery,Western Oromia,C_FINCHA_WEST,Registered production source; candidate destination topology,Historical/scoped; current source-specific production uncertain,37.25,9.65,contextual reservoir coordinate,provisional
TANA_LAKE,L. Tana,Lake Tana,Lake fishery,Northwest,C_TANA_NW,Existing source; network expansion,Historical/scoped,37.33333,12.0,local KML/GeoNames,existing
GERAY_RES_UNVERIFIED,Geray Res.,Geray Reservoir,Reservoir source,Northwest,C_TANA_NW,USER-SPECIFIED CANDIDATE,Unknown,37.288885,10.667426,User-supplied coordinate 2026-08-11,user-confirmed
GERD_RIVERS,GERD/L. Nigat,Lake Nigat (GERD Reservoir),Reservoir/river source,Benishangul-Gumuz,C_GERD_WEST,Existing route child; Lake Nigat name user-specified,Unknown/current,35.093,11.215,local GERD geometry/context,existing
TEKEZE_RES,Tekeze,Tekeze Reservoir,Reservoir fishery,North,C_TEKEZE_NORTH,Existing source; network expansion,Historical annual panels,38.74311,13.34795,GeoNames,existing
HASHENGE_LAKE_CHILD,L. Hashenge,Lake Hashenge,Lake fishery child,North,C_TEKEZE_NORTH,USER-SPECIFIED/PRIOR EVIDENCE SOURCE,Historical association records,39.51,12.57,contextual lake coordinate; Hashengie retained as a literature/GIS alias,provisional
HAYQ_LAKE_CHILD,L. Hayq,Lake Hayq,Lake fishery child,Eastern Amhara,C_HAYQ_AMHARA,USER-SPECIFIED TIME-SENSITIVE,Historical; reported current decline,39.71667,11.35,GeoNames; Lugo retained as a local/literature alias,existing
HARDIBO_LAKE_CHILD,L. Hardibo,Lake Hardibo,Lake fishery child,Eastern Amhara,C_HAYQ_AMHARA,USER-SPECIFIED CANDIDATE,Unknown/current decline context,39.73,11.18,contextual lake coordinate,provisional
SHEWA_SMALL_RES_AGG,Shewa SR,Shewa small-reservoir aggregate,Aggregate small-water source,Shewa,C_SHEWA_REEXPORT,USER-SPECIFIED AGGREGATE,Unquantified,39.4,9.55,regional aggregate,aggregate
ADDIS_REEXPORT_MIX,A.A. hub,Addis Ababa redistribution hub,"Redistribution source-state, not production",Addis/Shewa,C_SHEWA_REEXPORT,USER-SPECIFIED RE-EXPORT COMPONENT,Unknown,38.74689,9.02497,redistribution state,redistribution
SHEBELE_RIVER_FISHERY,W. Shebele,Wabi Shebele riverine fishery,Riverine fishery aggregate,Somali,C_SOMALI_EAST,"User-specified fish-source hypothesis; river geography cross-checked, fish supply unmeasured",Unknown/current,43.2,6.35,river-reach aggregate,aggregate
SOMALI_IRRIGATION_RES_AGG,Somali IR,Somali Region irrigation-reservoir aggregate,Reservoir/impoundment aggregate,Somali,C_SOMALI_EAST,User-specified candidate source class,Unknown,43.3,6.1,regional aggregate,aggregate
IMPORT_SOMALIA,Somalia imp.,Somalia fish imports,External supply child,Somalia to Ethiopia,C_SOMALI_EAST,User-specified candidate external source,Unknown,46.15,5.2,external schematic entry,external
MELKA_WAKENA_RES,M-Wakena Res.,Melka-Wakena Reservoir,Reservoir fishery,Oromia,C_EASTERN_AWASH,"Expert-elicited Goba-Robe, Bekoji-Asela and Asasa-Dodola-Kofele routes; quantities unmeasured",Unknown/current,39.39,7.37,contextual reservoir coordinate,provisional
HAROMAYA_ADELLE_LAKE,H–A Lake,Lake Haromaya–Adelle,Small-lake fishery,Eastern/Harar context,C_EASTERN_AWASH,USER-SPECIFIED CANDIDATE SOURCE,Unknown,42.002922,9.404473,User-supplied coordinate 2026-08-11; Alemaya retained as a historical alias,user-confirmed
GENALE_DAWA_RES_SYSTEM,G-D III,Genale–Dawa III Reservoir,Reservoir fishery source,Genale–Dawa basin,C_GENALE_DAWA,"User-verified Genale–Dawa III Reservoir source and coordinate; project-area fish-to-Negele linkage documented; Goba–Robe retained as a user-specified candidate market branch; all destination tonnages unmeasured",Current source-specific production unquantified,39.674077,5.714526,User-supplied coordinate 2026-08-19,user-verified
